description,query
"Returns logs for tenant M0001 that are not complete tax-event/outbound-event records (i.e., missing at least one of the taxevt/taxout fields) and also excludes Windows logon events (4624), the Windows syslog keepalive message, and traffic from host 10.1.32.232.",tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT rawmsg:4624 AND NOT rawmsg:Windows syslog keepalive connection v2.2  AND NOT couname:10.1.32.232
"It looks for logs from tenant M0001 where the destination domain is youporn.com, i.e., traffic to YouPorn, ensuring a target-domain value exists.",tenantname:M0001 AND trgdomain:* AND trgdomain:youporn.com
"Identify logs for tenant D0034 involving Palo Alto Next-Generation Firewall where traffic targets any domain and the source is 192.168.47.211, excluding traffic from 192.168.42.181.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND trgdomain:* AND NOT srcip:192.168.42.181 AND srcip:192.168.47.211"
Finds security events that were parsed by the MAGI parser and have a severity level of 5.,parsertype:MAGI AND sev:5
"Finds events directed to the Microsoft telemetry endpoint mobile.pipe.aria.microsoft.com, indicating beaconing or data-collection traffic to that domain.",trgdomain:* AND trgdomain:mobile.pipe.aria.microsoft.com
It looks for activity in tenant D0034 originating from Hong Kong that involves the Sangfor_CyberCommand application.,"tenantname:D0034 AND srccountry:HKG AND pname:""Sangfor_CyberCommand"""
"Identify M0001 tenant firewall logs that show traffic headed to pornhub.com, while excluding MAGI parser entries, session events, and traffic to a large set of other domains to reduce noise.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com AND NOT trgdomain:xhamster.com AND NOT trgdomain:xxx.com AND NOT trgdomain:x.js AND NOT trgdomain:live.com AND NOT trgdomain:xnxx.com AND NOT trgdomain:bcgame.li AND NOT trgdomain:google.com  AND NOT trgdomain:bithumb.com AND NOT trgdomain:binance.com AND NOT trgdomain:men.com AND NOT trgdomain:cock.com AND NOT trgdomain:chaturbate.com AND trgdomain:pornhub.com"
Finds events for tenant M0001 that were parsed by the MAGI parser and have event types starting with Suspicious.,tenantname:M0001 AND parsertype:magi AND evt:Suspicious*
"Returns log entries where at least one of the seven tax event/outcome fields is missing, and where no pname field is present.",NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT pname:*
Find security events of medium severity (level 3) where the process name is Sangfor_CyberCommand.,"sev:3 AND pname:""Sangfor_CyberCommand"""
Find events where the source country is known and the process name is Sangfor_CyberCommand.,"srccountry:* AND pname:""Sangfor_CyberCommand"""
"Finds logs where there is a source domain, the target-domain score falls between 100 and 400, and the destination is the domain u.ipw.metadsp.co.uk.",blsrc_trgdomain:* AND blscore_trgdomain:[100 TO 400] AND trgdomain:u.ipw.metadsp.co.uk
"Filters for tenant M0001 logs from Palo Alto Next-Generation Firewall at severity 4, excluding MAGI parser results and a specific ZGrab scanner event, and only includes entries that have a source username.","(tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall""  AND NOT parsertype:MAGI AND  sev:4) AND NOT evt:""ZGrab Application Layer Scanner Detection\\(57955\\) AND srcuname:*"
Finds security events in tenant D0034 where Symantec Endpoint Security Protection flagged activity from a source IP with a block score between 50 and 200 aimed at the target IP 137.42.168.192.,"tenantname:D0034 AND pname:""Symantec Endpoint Security Protection""  AND blsrc_trgip:* AND blscore_trgip:[50 TO 200] AND trgip:137.42.168.192"
It filters for log entries for tenant D0034 where the vec field equals 0100022951.,"tenantname:D0034 AND vec:""0100022951"""
"It filters out any logs involving the internal IP 10.168.168.71, returning only events from other addresses.",NOT couip:10.168.168.71
"Find Palo Alto Next-Generation Firewall logs for tenant M0001 while excluding routine session start/end events, update/LDAP/app-registry/upgrade-related events, and MAGI parse-type events, in order to surface unusual or non-routine activity.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT evt:""Session Started"" AND NOT evt:""Session Ended"" AND NOT parsertype:MAGI AND NOT evt:""Connection to Update server"" AND NOT evt:""send\\-success"" AND NOT evt:""connect\\-ldap\\-sever"" AND NOT evt:""Request made to server ""app\\-registry\\-service.apps.paloaltonetworks.com"" is successful "" AND NOT evt:""upgrade\\-url\\-database\\-success"""
It looks for Kerberos authentication ticket requests (Event ID 4768) within the M0001 tenant.,vec:4768 AND tenantname:M0001
"Identify Radware DefensePro Anti-DDoS protection events for tenant D0034 where the protection action succeeded, originating from 59.148.213.70, excluding the two specific source IPs (0.0.0.0 and 89.248.163.68), with no country restriction.","tenantname:D0034 AND pname:""Radware DefensePro Anti-DDoS Protection"" AND NOT srcip:0.0.0.0 AND NOT srcip:89.248.163.68 AND taxoutpro:success AND srccountry:* AND srcip:59.148.213.70"
"Identify anomaly-type security events with severity 4 for tenant D0034 that originate from China, regardless of the source IP.",tenantname:D0034 AND srcip:* AND srccountry:CHN AND sev:4 AND evt:Anomaly
"Finds logs for tenant D0034 that are not complete tax-event records (missing at least one of the tax event or tax output fields) and excludes entries from certain security devices (Radware DefensePro Anti-DDoS Protection, Checkpoint Harmony, Juniper SRX Firewall) as well as traffic from the two internal source IPs (192.168.199.254 and 172.16.0.121).","tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT pname:""Radware DefensePro Anti\\-DDoS Protection"" AND NOT pname:""Checkpoint Harmony"" AND NOT pname:""Juniper SRX Firewall"" AND NOT couip:192.168.199.254 AND NOT couip:172.16.0.121"
"Identify security events for tenant D0034 coming from public IPs by excluding a large list of routine or benign events and messages, effectively surfacing only unusual or potentially suspicious activity.","tenantname:D0034 AND NOT (srcip:192.*.*.* OR srcip:10.*.*.* OR srcip:172.*.*.*) NOT taxevtst:siem AND (NOT evt:""Traffic local message"") AND (NOT evt:""Traffic forward message"") AND (NOT evt:ErtFeed) AND (NOT evt:""Allowed Inbound connection"") AND (NOT evt:""A security session was closed"") AND (NOT evt:""Networking Problem"") AND (NOT evt:""Forward traffic statistics"") AND (NOT evt:""Block Web Services Discovery from external computers"") AND (NOT evt:""Anti\\-Scanning"") AND (NOT evt:Access) AND (NOT evt:""The management server received the client log successfully"") AND (NOT evt:""The client has downloaded globalindex.dax"") AND (NOT evt:""FortiGuard hostname unresolvable"") AND (NOT evt:""Display CMD Record\\(s\\)"") AND (NOT evt:""Allow all applications"") AND (NOT evt:""url\\-cloud\\-connection\\-failure"") AND (NOT evt:""Connection event logged at beginning of connection"") AND (NOT evt:Anomalies) AND (NOT evt:""Allowed Outbound connection"") AND (NOT evt:""A security session was created"") AND (NOT evt:""cloud\\-election"") AND (NOT evt:""System performance statistics"") AND (NOT evt:""Symantec Endpoint Protection has determined that the virus definitions are missing on this computer"") AND (NOT evt:""Pattern Violation Detected"") AND (NOT evt:Intrusions) AND (NOT evt:""The client has downloaded the content package successfully"") AND (NOT evt:""An update for Revocation Data from LiveUpdate failed to install"") AND (NOT evt:""An update for Intrusion Prevention Signatures from LiveUpdate failed to install"") AND (NOT evt:""An update for Common Network Transport Library and Configuration from LiveUpdate failed to install"") AND (NOT evt:""A LiveUpdate session encountered errors"") AND (NOT evt:""The client will block traffic from IP address"") AND (NOT evt:ConnectionPPS) AND (NOT evt:""Audit\\: P2P Torrent Traffic 5 attack blocked"") AND (NOT evt:""An update for WSS Traffic Redirection from LiveUpdate failed to install"") AND (NOT evt:""An update for SONAR Definitions from LiveUpdate failed to install"") AND (NOT evt:""Possible CSRF attack detected in POST"") AND (NOT evt:""Log files written to USB drives"") AND (NOT evt:""Failed connection attempts "") AND (NOT evt:""Block UPnP Discovery from external computers"") AND (NOT evt:Anomaly) AND (NOT evt:""session start"") AND (NOT evt:""session end\, TCP RST"") AND (NOT evt:""Session Ended"") AND (NOT evt:STREAM) AND (NOT evt:""EDL\\(pablacklist.txt\\) EDL file was not updated at remote end"") AND (NOT evt:""sent a dhcpack packet successfully"") AND (NOT evt:""received a request packet"") AND (NOT evt:""EDL\\(pablacklistdns\\) No"") AND (NOT evt:""EDL\\(pablacklistdns\\) EDL file was not updated at remote end"") AND (NOT evt:""EDL\\(pablacklist.txt\\) No"") AND (NOT evt:""upgrade\\-url\\-database\\-success"") AND (NOT evt:""Threat feed update failed"") AND (NOT evt:""IPsec tunnel statistics"") AND (NOT evt:""Device Manager Message Disabled the device"") AND (NOT evt:""Access denied due to malicious request"") AND (NOT evt:""Event time\\: 2025\\-06\\-05 14\\:09\\:02"") AND (NOT evt:""Event time\\: 2025\\-06\\-05 14\\:08\\:05"") AND (NOT evt:""Event time\\: 2025\\-06\\-05 14\\:04\\:03"") AND (NOT evt:""Event time\\: 2025\\-06\\-05 14\\:03\\:06"") AND (NOT evt:""Event time\\: 2025\\-06\\-05 14\\:02\\:04"")"
"Pull logs for tenant D0034 that have severity 6 and originate from the source IP 52.143.124.236, while excluding any events where the source IP is 0.0.0.0.",tenantname:D0034 AND sev:6 NOT srcip:0.0.0.0 AND srcip:52.143.124.236
"Find logs for tenant D0034 from the Palo Alto Next-Generation Firewall that include a target domain, a blocked source-to-target-domain entry, and a source username.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND trgdomain:* AND blsrc_trgdomain:* AND srcuname:*"
"Identify high-severity security events for tenant D0034 that originate from China, come from the IP address 183.57.47.83, and are flagged as outbound-proxy activity.",tenantname:D0034 AND srcip:* AND srccountry:CHN AND sev:4 AND taxoutpro:1 AND srcip:183.57.47.83
"Filters for logs in tenant D0034 that originate from IP 192.168.42.141, with any source name.",tenantname:D0034 AND srcip:192.168.42.141 AND srcname:*
Logs for tenant D0034 on the Juniper SRX Firewall instance srx380-1 where traffic originates from 10.168.168.103 and is destined for 13.70.66.114.,"tenantname:D0034 AND pname:""Juniper SRX Firewall"" AND obsname:""srx380\\-1"" AND srcip:10.168.168.103 AND trgip:13.70.66.114"
"Looks for tenant M0001 events that are not a fully populated tax event/taxout record (at least one of the seven fields is missing), while excluding 4624 logon messages and certain vector codes, and only including events that have an event type present.","tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT rawmsg:""4624"" AND NOT vec:5807 AND NOT vec:5137 AND NOT vec:5141 AND NOT vec:16384 AND NOT vec:16394 AND evt:*"
"Finds DefensePro Anti-DDoS protection events for tenant D0034 from the IP 42.194.128.22, excluding three specific unrelated/invalid source IPs, and only include cases where the taxoutpro status is marked as successful.","tenantname:D0034 AND pname:""Radware DefensePro Anti-DDoS Protection"" AND NOT srcip:89.248.163.68 AND NOT srcip:79.124.62.230 AND NOT srcip:0.0.0.0 AND taxoutpro:success AND srcip:42.194.128.22"
"Finds events for tenant D0034 involving Symantec Endpoint Security Protection that have a source and destination IP, with the destination IP equal to 52.123.129.14 and excluding any events where the destination is 13.107.42.16.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection""  AND blsrc_trgip:* AND NOT trgip:13.107.42.16 AND trgip:52.123.129.14"
"It searches Fortinet Fortigate logs for botnet-related events, filtered by taxonomy object 9.","pname:""Fortinet Fortigate"" AND  taxevtobj:9 AND evt:SystemBC.Botnet"
"Looks for security events in tenant D0034 involving the Juniper SRX Firewall on device srx380-1 that originate from source IP 10.168.168.101, with no restriction on the destination country.","tenantname:D0034 AND pname:""Juniper SRX Firewall"" AND obsname:""srx380\\-1"" AND trgcountry:* AND srcip:10.168.168.101"
"It searches for events in tenant D0034 from Hong Kong that involve the Sangfor_CyberCommand process, regardless of the source IP.","tenantname:D0034 AND srcip:* AND srccountry:HK AND pname:""Sangfor_CyberCommand"""
"Identify Palo Alto firewall events for tenant M0001 where the target domain is xhamster.com, excluding MAGI-parsed entries, any session-related events, and traffic to youporn.com or Backblaze domains.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com AND trgdomain:xhamster.com"
Finds network events where the source is 10.1.32.21 and the destination is not 8.8.8.8.,srcip:10.1.32.21 AND NOT trgip:8.8.8.8
Looks for security events in tenant D0034 where the Radware DefensePro Anti-DDoS Protection module logged anti-scanning activity coming from sources in China.,"tenantname:D0034  AND pname:""Radware DefensePro Anti\\-DDoS Protection"" AND srccountry:CHN AND evt:""Anti\\-Scanning"""
"Looks for logs in tenant D0034 where the Juniper SRX Firewall is involved, using outbound policy 1, with the source IP 61.242.178.115 coming from China.","tenantname:D0034 AND pname:""Juniper SRX Firewall"" AND taxoutpro:1 AND srccountry:CHN AND srcip:61.242.178.115"
Looks for events in tenant D0034 involving the Palo Alto Next-Generation Firewall where the destination IP is 210.87.250.48 and there is a non-empty source username.,"tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND  trgip:210.87.250.48 AND srcuname:*"
It returns logs with a source IP where the event is from either Symantec Endpoint Security Protection (any severity) or from a Palo Alto Next-Generation Firewall with severity 3.,"(pname:""Symantec Endpoint Security Protection""  OR pname:""Palo Alto Next-Generation Firewall"" AND sev:3) AND srcip:*"
"Identify WebShell/backdoor scan detections from either Symantec Endpoint Security Protection or Sangfor CyberCommand where there is a source country present and the file name includes ""shell.""","(pname:""Symantec Endpoint Security Protection"" OR pname:""Sangfor_CyberCommand"" ) AND srccountry:* AND evt:WebShell后门扫描检测文件名包含文件名包含shell"
"Looks for DoS events detected by Radware DefensePro Anti-DDoS Protection for tenant D0034, excluding traffic originating from the specified source IP addresses.","tenantname:D0034 AND pname:""Radware DefensePro Anti\\-DDoS Protection"" AND evt:DoS AND NOT srcip:0.0.0.0 AND NOT srcip:2.56.149.204 AND NOT srcip:114.55.111.50 AND NOT srcip:121.43.108.187 AND NOT srcip:47.99.166.149"
"Retrieves logs for tenant D0034 from source IP 192.168.199.254 where at least one of the seven tax event/outbound fields is missing, i.e., not a fully populated tax event record.",tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND couip:192.168.199.254
"It looks for tenant D0034 traffic through a Palo Alto firewall to clearnetfab.net where there’s a source-to-target domain relationship with a moderate-to-high risk score, a successful outbound action, and no matches to common legitimate domains or a known phishing name.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 300] AND taxoutpro:success AND NOT trgdomain:google.com AND NOT trgdomain:googletagmanager.com AND NOT trgdomain:s3.amazonaws.com AND NOT trgdomain:storage.googleapis.com AND NOT trgdomain:ajax.googleapis.com AND NOT blname_trgdomain:Phishco AND trgdomain:clearnetfab.net"
"Finds Symantec Endpoint Protection events for tenant D0034 that are not normal allowed outbound/inbound connections, not USB-write logs, not time-stamped events, and not severities 6 or 4, i.e., it looks for other, non-typical security events from that product.","tenantname:D0034 AND pname:""Symantec Endpoint Security Protection"" AND NOT evt:""Allowed Outbound connection"" AND NOT evt:""Allowed Inbound connection""  AND NOT evt:""Log files written to USB drives"" AND NOT sev:6 AND NOT evt:Event time:* AND NOT sev:4"
Looks for DNS queries from internal hosts in the 10.168.168.* range targeting the DNS server at 1.1.1.1 on port 53 for tenant D0034.,tenantname:D0034 AND srcip:10.168.168.* AND trgport:53 AND trgip:1.1.1.1
Identify logs where a Sangfor process is detected and marked as initiating outbound activity (taxoutpro equals 1).,"taxoutpro:1 AND pname:""Sangfor"
It targets logs for tenant D0034 that originate from the IP address 10.168.168.10.,tenatname:D0034 AND srcip:10.168.168.10
"Identify events for tenant M0001 that do not include the full set of tax-event fields and do not originate from or relate to the listed sources/hosts (Windows logon events, Microsoft Active Directory, CrowdStrike EDR, vSphere vCenter, and the given IPs/hosts), nor are they parsed by MAGIPOST.","tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT vec:4624 AND NOT pname:""Microsoft Active Directory and Windows"" AND NOT couname:10.1.32.232 AND NOT couname:10.1.32.231 AND NOT pname:""CrowdStrike EDR"" AND NOT pname:""vSphere vCenter"" AND NOT parsertype:MAGIPOST AND NOT couname:10.1.100.150"
"It searches for SQL injection events detected by the MAGI parser for tenant D0034, excluding a list of specific source IPs, while still including any activity from IP 82.23.210.239.","tenantname:D0034 AND parsertype:MAGI AND evt:""SQL Injection"" AND (NOT srcip:23.95.61.57) AND (NOT srcip:23.229.125.234) AND (NOT srcip:20.171.207.105) AND (NOT srcip:14.225.74.32) AND (NOT srcip:14.0.159.163) AND (NOT srcip:45.206.73.101) AND (NOT srcip:45.159.20.138) AND (NOT srcip:45.131.103.206) AND (NOT srcip:35.213.93.50) AND (NOT srcip:23.234.86.116) OR srcip:82.23.210.239"
"It searches for security events where taxoutpro is 1, the source country can be any value, and the severity is 4.",taxoutpro:1 AND srccountry:* AND sev:4
"Identify logs that have a source domain, where the target domain has a blacklist score between 100 and 300, and exclude any events where the target domain is binance.com.",blsrc_trgdomain:* AND blscore_trgdomain:[100 TO 300] AND NOT trgdomain:*.binance.com
"Looks for logs from tenant D0034 involving the host 192.168.199.254, but excludes events that have values in all seven tax-related fields (taxevtst, taxevtobj, taxevtcon, taxevtact, taxoutpro, taxoutobj, taxoutcon).",tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND couname:192.168.199.254
"Identify events for tenant D0034 from the Radware AppWall Web Application Firewall, while ignoring traffic from the listed source IP addresses.","tenantname:D0034 AND pname:""Radware AppWall Web Application Firewall"" AND NOT srcip:109.244.80.129 AND NOT srcip:109.244.69.34 AND NOT srcip:81.69.175.50 AND NOT srcip:116.236.247.168 AND NOT srcip:220.241.132.90 AND NOT srcip:220.241.132.93 AND NOT srcip:109.244.80.158"
"Identify URL filtering events on the Palo Alto firewall for tenant D0034 where the target domain is on the blocklist with a score between 100 and 1000, excluding the domains page.dingtalk.com and xux-web-config.oss-accelerate.aliyuncs.com.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall""  AND evt:""URL filtering log"" AND blsrc_trgdomain:* AND blscore_trgdomain:[100 TO 1000] AND NOT trgdomain:page.dingtalk.com AND NOT trgdomain:""xux\\-web\\-config.oss\\-accelerate.aliyuncs.com"""
"Identify log events for tenant D0034 where the destination domain is xux-web-config.oss-accelerate.aliyuncs.com, the target domain field is populated and has a high risk score (120–500), excluding hits to Bing, Google Tag Manager, and Secure AdNXS.","tenantname:D0034 AND blsrc_trgdomain:* AND blscore_trgdomain:[120 TO 500] AND NOT trgdomain:www.bing.com AND NOT trgdomain:googletagmanager.com AND NOT trgdomain:secure.adnxs.com AND trgdomain:""xux\\-web\\-config.oss\\-accelerate.aliyuncs.com"""
"Finds successful logon events for tenant M0001 where the target user is ywho, while excluding machine accounts and a set of privileged/service accounts.",tenantname:M0001 AND vec:4624 AND NOT trguname:*$  AND NOT trguname:sladmin AND NOT trguname:svradmin AND NOT trguname:ldapread AND NOT trguname:shgappsadmin AND NOT trguname:msol_eef97af96a67 AND NOT trguname:msol_477b4a5324c5 AND trguname:ywho
It searches for events tied to tenant D0034 with severity level 3 from any source IP address.,tenantname:D0034 AND sev:3 AND srcip:*
Finds all logs for tenant D0034 that are marked as SIEM-related and includes any event data present.,tenantname:D0034 AND taxevtst:siem AND evt:*
"Looks for Palo Alto firewall events for tenant M0001, but excludes MAGI-parsed logs, any session-type events, and traffic to a defined list of domains (including adult sites, crypto exchanges, and other specified sites).","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com AND NOT trgdomain:xhamster.com AND NOT trgdomain:xxx.com AND NOT trgdomain:x.js AND NOT trgdomain:live.com AND NOT trgdomain:xnxx.com AND NOT trgdomain:bcgame.li AND NOT trgdomain:google.com  AND NOT trgdomain:bithumb.com AND NOT trgdomain:binance.com AND NOT trgdomain:men.com AND NOT trgdomain:cock.com AND NOT trgdomain:chaturbate.com AND NOT trgdomain:pornhub.com"
"Finds events for tenant M0001 where the MAGI parser flags a suspicious domain query, excluding any queries that target common legitimate domains (Bing, Google, AJAX Google, Google Storage, Yandex, and d.agkn).","tenantname:M0001 AND parsertype:MAGI AND evt:""Suspicious Domain Query""  AND NOT trgdomain:www.bing.com AND NOT trgdomain:google.com  AND NOT trgdomain:ajax.googleapis.com AND NOT trgdomain:storage.googleapis.com  AND NOT trgdomain:mc.yandex.ru AND NOT trgdomain:d.agkn.com"
"Looks for tenant D0034 logs from China with severity level 3, coming from IP 182.92.159.157, while excluding events related to block notifications, intrusions, ErtFeed, ConnectionPPS, and Anti-Scanning.","tenantname:D0034 AND srccountry:CHN AND sev:3  AND (NOT evt:""The client will block traffic from IP address"") AND (NOT evt:Intrusions) AND (NOT evt:ErtFeed) AND (NOT evt:ConnectionPPS) AND (NOT evt:""Anti\\-Scanning"") AND srcip:182.92.159.157"
It searches for security logs from tenant D0034 where the event code is 200 and the event type is a general SQL injection attack.,tenantname:D0034 AND voc:200 AND evt:通用SQL注入攻击
"Finds SQL injection events for tenant D0034 identified by the MAGI parser that originate from IP 45.131.103.206, while excluding traffic from the listed other source IPs.","tenantname:D0034 AND parsertype:MAGI AND evt:""SQL Injection""  AND (NOT srcip:23.95.61.57) AND (NOT srcip:23.229.125.234) AND (NOT srcip:20.171.207.105) AND (NOT srcip:14.225.74.32) AND (NOT srcip:14.0.159.163) AND srcip:45.131.103.206"
It filters for logs from tenant M0001 where the trigger name is localveeamhksvr150 and the action originated from the source user hksvr133.,"tenantname:M0001 AND trguname:localveeamhksvr150 AND srcuname:""hksvr133"""
"Find URL-filtering events for tenant D0034 from the Palo Alto firewall where the request comes from 192.168.40.104 (not 192.168.42.181), has a source user, targets a domain on the blocklist with a score between 50 and 200, and is not destined for page.dingtalk.com.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 200] AND evt:""URL filtering log"" AND NOT srcip:192.168.42.181 AND srcuname:* AND NOT trgdomain:page.dingtalk.com AND srcip:192.168.40.104"
"It looks for outbound connections from tenant M0001 on a Palo Alto firewall that are not session events, not MAGI-parsed, and not directed to any of the listed excluded domains (primarily adult sites and a few well-known sites), i.e., it aims to surface non-standard destinations outside that exclusion list.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com AND NOT trgdomain:xhamster.com AND NOT trgdomain:xxx.com AND NOT trgdomain:x.js AND NOT trgdomain:live.com AND NOT trgdomain:xnxx.com AND NOT trgdomain:bcgame.li AND NOT trgdomain:google.com  AND NOT trgdomain:bithumb.com AND NOT trgdomain:binance.com AND NOT trgdomain:men.com AND NOT trgdomain:cock.com AND NOT trgdomain:chaturbate.com AND NOT trgdomain:pornhub.com AND NOT trgdomain:pussy.com AND NOT trgdomain:onlyfans.com AND NOT trgdomain:""hero\\-8172.com"" AND NOT trgdomain:xvideos.com"
"Finds Palo Alto firewall events for tenant M0001 that are not routine session starts/ends, not MAGI-parsed, not connections to the update server, and not successful send events, i.e., surface non-routine or noteworthy firewall activity.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT evt:""Session Started"" AND NOT evt:""Session Ended"" AND NOT parsertype:MAGI AND NOT evt:""Connection to Update server"" AND NOT evt:""send\\-success"""
"Identify URL-filtering events on the D0034 tenant from a Palo Alto Next-Generation Firewall where there is a non-empty source-to-target domain relation with the target-domain risk score between 50 and 200, ignore traffic from 192.168.42.181, require a source username, and exclude any events targeting page.dingtalk.com.","tenantname:D0034 AND pname:""Palo Alto Next\\-Generation Firewall"" AND blsrc_trgdomain:* AND blscore_trgdomain:[50 TO 200] AND evt:""URL filtering log"" AND NOT srcip:192.168.42.181 AND srcuname:* AND NOT trgdomain:page.dingtalk.com"
Fetches logs from IP 192.168.42.75 that have severity 4.,couip:192.168.42.75 AND sev:4
Finds events where the Sangfor_CyberCommand process is involved and a source IP address is recorded.,"pname:""Sangfor_CyberCommand"" AND srcip:*"
"Find logs for tenant M0001 from Veeam, excluding any entries from Fortinet Fortigate, VMware ESXi, or Microsoft Active Directory/Windows, and excluding records that have all the tax-related fields populated.","tenantname:M0001 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT pname:""Fortinet Fortigate"" AND NOT pname:""VMWare ESXi"" AND NOT pname:""Microsoft Active Directory and Windows"" AND pname:Veeam"
"Filters logs for tenant D0034 where voc equals 200 and taxoutpro equals 1, from any source IP.",tenantname:D0034 AND voc:200 AND taxoutpro:1 AND srcip:*
It retrieves logs from source IP 150.158.45.102 while excluding any events labeled as Access.,srcip: 150.158.45.102 NOT evt:Access
"It filters for logs from tenant D0034 involving Juniper SRX Firewall where a blocked source IP is present, excluding events whose actual source IP is in the 161.117.*.* range.","tenantname:D0034 AND pname:""Juniper SRX Firewall"" AND blsrc_srcip:* AND NOT srcip:161.117.*.*"
"Looks for activity from tenant M0001 related to Microsoft Active Directory and Windows, under a specific detection rule, and containing a suspected SQL injection payload (UNION SELECT with numbers and a timestamp) to flag an injection attempt.","tenantname:M0001 AND pname:""Microsoft Active Directory and Windows"" AND vec:33205 AND """
"Looks for logs from Palo Alto Next-Generation Firewall where the outbound property is 1, the event action is 11, and the target domain field is present (any domain).","pname:""Palo Alto Next-Generation Firewall"" AND taxoutpro:1 AND taxevtact:11 AND trgdomain:*"
It returns events for tenant D0034 where the taxoutpro flag is set to 1 and the involved IP address is 172.16.0.25.,tenantname:D0034 AND taxoutpro:1 AND couip:172.16.0.25
"Looks for logs for tenant D0034, but excludes any events that have all seven tax event/outcome fields filled and excludes events originating from the four specified IP addresses.",tenantname:D0034 AND NOT (taxevtst:* AND taxevtobj:* AND taxevtcon:* AND taxevtact:* AND taxoutpro:* AND taxoutobj:* AND taxoutcon:*) AND NOT couname:192.168.199.254 AND NOT couname:172.16.0.121 AND NOT couname:192.168.42.76 AND NOT couname:192.168.42.75
"Looks for logs from tenant M0001 on the Palo Alto Next-Generation Firewall, excluding MAGI-parsed items, excluding session events, and excluding any target domains for youporn.com, backblazeb2.com, backblaze.com, xhamster.com, xxx.com, and x.js.","tenantname:M0001 AND pname:""Palo Alto Next-Generation Firewall"" AND NOT parsertype:MAGI AND NOT evt:Session* AND NOT trgdomain:youporn.com AND NOT trgdomain:backblazeb2.com AND NOT trgdomain:backblaze.com AND NOT trgdomain:xhamster.com AND NOT trgdomain:xxx.com AND NOT trgdomain:x.js"
It searches for log entries from tenant D0034 on a Hillstone Firewall with vector ID 4424363e and a source IP of 192.168.1.142.,"tenantname:D0034 AND pname:""Hillstone Firewall"" AND vec:4424363e AND srcip:192.168.1.142"
"Finds security events for tenant D0034 related to Radware DefensePro Anti-DDoS Protection, excluding traffic from 89.248.163.68 and 0.0.0.0, and including only traffic from source IP 79.124.62.230.","tenantname:D0034 AND pname:""Radware DefensePro Anti-DDoS Protection"" AND NOT srcip:89.248.163.68 AND NOT srcip:0.0.0.0 AND srcip:79.124.62.230"
